,Gen_Number
0,224
1,500
2,353
3,0
4,500
5,477
6,490
7,13
8,500
9,442
10,261
11,500
12,0
13,500
14,0
15,497
16,19
17,2
18,244
19,499
20,499
21,79
22,500
23,497
24,500
25,0
26,41
27,500
28,436
29,489
