,Gen_Number
0,700
1,696
2,700
3,696
4,697
5,698
6,336
7,700
8,700
9,699
10,699
11,699
12,689
13,699
14,699
15,692
16,696
17,699
18,700
19,700
20,464
21,674
22,700
23,0
24,700
25,698
26,698
27,700
28,697
29,700
