,Gen_Number
0,700
1,700
2,699
3,699
4,699
5,699
6,699
7,699
8,700
9,700
10,700
11,700
12,700
13,699
14,699
15,700
16,697
17,696
18,694
19,700
20,694
21,700
22,700
23,683
24,697
25,698
26,697
27,699
28,699
29,700
