,Gen_Number
0,692
1,700
2,693
3,700
4,696
5,700
6,697
7,700
8,700
9,695
10,700
11,700
12,699
13,700
14,696
15,697
16,700
17,694
18,698
19,686
20,698
21,699
22,699
23,699
24,700
25,699
26,700
27,696
28,700
29,696
