,Gen_Number
0,498
1,498
2,499
3,500
4,496
5,499
6,500
7,484
8,500
9,500
10,469
11,500
12,500
13,494
14,500
15,494
16,495
17,498
18,477
19,488
20,500
21,486
22,500
23,500
24,500
25,81
26,495
27,500
28,499
29,500
