,Gen_Number
0,696
1,682
2,697
3,674
4,691
5,549
6,685
7,693
8,699
9,700
10,663
11,695
12,583
13,700
14,700
15,700
16,675
17,695
18,700
19,700
20,686
21,700
22,697
23,699
24,700
25,695
26,700
27,690
28,694
29,700
