,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,6.24,11.28,10.86,11.02,10.8,10.52,10.64,12.38,12.38,11.92,12.68,15.18,19.1,26.0,26.62,28.9,31.48,31.38,31.96,37.18,41.74,45.08,61.98,82.5,95.96,101.62,112.42,132.18,139.92,140.42,150.1,154.54,161.12,165.36,169.36,167.6,179.08,190.38,189.46,190.84,192.94,192.72,195.78,196.24,197.3,197.82,198.34,199.02,200.58,199.62,200.56,201.48,203.0,200.64,202.58,202.9,203.58,204.7,206.82,212.76,215.62,220.44,226.52,236.38,233.76,245.28,252.84,254.46,257.02,260.62,264.4,264.52,267.04,266.9,268.64,269.38,270.46,266.76,270.16,273.8,278.82,281.46,285.78,290.36,297.32,296.72,297.9,303.02,301.0,303.48,304.26,304.32,302.16,302.1,304.32,304.76,305.64,304.66,304.34,305.42,305.66
11,6.2,11.0,11.1,10.86,13.1,13.72,12.52,12.44,12.46,14.86,13.92,15.0,15.9,15.86,15.98,15.98,15.98,15.98,15.84,17.72,16.46,17.78,20.24,23.76,28.22,28.72,27.78,29.02,31.42,36.98,45.5,59.06,64.84,66.82,77.72,89.04,92.3,96.6,100.42,108.82,106.58,111.08,124.66,134.74,142.7,150.96,156.22,157.36,162.98,163.08,171.76,176.78,176.88,182.02,182.4,180.44,183.68,186.68,190.4,195.74,199.02,198.86,203.34,202.12,210.12,211.24,217.14,216.9,219.04,226.4,220.54,225.22,224.28,227.36,222.96,230.8,235.74,245.96,252.58,258.44,265.42,276.76,289.18,299.7,303.96,316.76,333.92,346.54,357.46,357.74,360.16,372.66,374.48,380.28,385.26,399.12,407.78,415.88,416.22,426.16,422.34
12,6.22,11.22,11.42,10.14,12.68,11.9,12.22,11.86,12.98,12.56,12.08,12.22,11.9,13.92,12.3,12.38,12.92,16.74,16.08,16.94,21.24,22.56,22.08,28.12,26.74,30.94,30.32,30.68,30.66,31.78,39.26,37.06,39.48,40.68,42.58,39.1,39.18,39.18,38.94,42.42,41.72,42.52,48.82,49.8,52.68,62.32,60.92,62.48,68.68,71.62,63.42,65.1,74.68,97.26,122.7,138.4,124.06,134.66,139.9,138.64,136.84,157.56,138.62,139.72,141.72,146.36,149.64,156.4,157.08,164.72,165.36,168.28,169.02,171.24,169.48,172.62,174.24,178.06,176.82,185.22,182.48,189.06,194.54,198.18,196.34,199.62,201.16,201.62,204.38,208.88,208.5,210.62,211.7,210.3,210.04,215.76,225.12,229.52,229.5,231.14,233.02
13,6.2,11.24,10.36,10.5,13.28,14.82,17.68,14.72,14.82,14.78,14.96,17.28,19.1,19.58,20.58,20.68,21.6,21.82,24.28,24.36,23.7,24.4,24.44,23.5,24.24,24.04,24.12,23.92,24.26,24.4,24.32,27.84,23.84,27.68,24.44,28.6,26.96,24.8,24.64,26.28,27.28,26.3,27.86,27.02,29.46,24.52,24.52,26.76,24.36,30.58,24.8,30.06,32.16,28.36,28.72,30.58,30.2,30.74,29.9,29.36,29.44,30.84,29.56,28.4,28.54,30.92,32.04,28.4,30.58,29.54,28.76,30.5,30.44,28.54,30.68,30.66,30.36,30.46,30.78,28.4,31.08,30.28,31.88,31.84,31.42,32.72,31.98,31.8,31.86,32.14,32.22,32.4,31.94,31.62,32.96,32.36,32.4,32.84,32.92,32.0,31.82
14,6.2,11.2,11.46,21.44,19.34,20.04,20.82,21.86,23.54,25.5,24.36,25.78,25.26,27.18,27.46,26.86,28.86,33.16,35.58,35.46,38.02,39.2,44.76,49.7,49.66,53.42,55.68,54.4,54.7,54.4,54.9,54.04,55.94,55.84,59.6,63.14,61.72,61.8,63.36,65.02,72.56,73.14,80.64,88.1,87.52,73.26,74.32,74.3,75.14,73.5,94.8,80.52,80.02,85.98,87.4,86.02,87.0,87.84,86.38,85.96,87.94,85.58,86.32,86.6,86.68,85.56,86.88,86.52,85.9,87.98,87.16,87.72,88.54,89.98,100.74,90.02,102.04,90.94,87.04,89.68,88.34,89.36,88.1,88.46,89.24,88.52,88.28,89.28,88.8,89.28,89.28,89.28,88.3,88.24,88.38,88.1,88.14,88.36,88.48,88.52,88.7
15,6.22,10.52,11.7,12.98,11.56,16.5,16.88,17.04,14.98,15.94,16.98,15.72,15.94,18.88,17.04,18.22,15.7,20.86,21.64,22.52,23.68,23.92,25.52,25.32,22.7,25.34,29.44,31.58,28.88,32.3,36.08,38.06,46.72,47.24,49.76,44.52,48.84,47.84,53.7,58.8,65.0,67.48,74.14,84.2,97.68,86.7,101.26,101.42,107.64,104.68,111.3,111.8,111.88,113.66,117.18,121.02,118.68,123.62,106.46,110.7,114.68,118.66,123.48,141.2,148.14,163.24,171.52,169.6,191.52,208.0,215.9,228.02,240.32,244.36,245.36,259.32,282.84,286.08,294.58,302.42,315.04,343.58,379.32,398.82,409.0,410.14,417.78,422.34,426.5,424.58,429.64,429.32,433.62,438.06,437.88,438.2,440.12,440.32,438.32,444.28,441.4
16,6.2,10.96,15.16,22.54,25.46,40.38,35.56,39.7,40.28,40.96,42.66,41.98,43.42,43.72,43.9,44.48,44.54,43.84,39.24,41.22,47.18,50.24,54.0,47.26,53.06,59.76,69.8,72.3,78.54,76.86,84.26,88.2,94.54,97.04,96.72,97.28,95.9,97.9,97.06,98.24,99.26,96.72,97.34,98.26,99.18,99.4,101.06,110.42,122.42,131.88,138.44,143.32,147.88,154.32,164.06,165.0,167.14,175.26,182.52,187.46,195.76,194.46,199.34,199.96,200.82,204.0,203.32,207.56,211.8,213.72,215.22,220.34,219.74,221.54,223.86,226.92,235.98,260.24,270.28,276.52,289.84,293.68,309.58,317.82,324.52,328.8,347.76,356.94,365.3,373.4,377.7,377.44,380.72,379.48,379.92,380.7,379.6,381.62,382.3,385.06,386.72
17,6.2,11.36,11.16,10.4,10.24,10.22,10.22,10.48,10.4,12.1,10.22,12.56,10.68,11.94,14.06,16.12,16.36,17.76,16.9,16.92,17.24,18.28,18.64,23.22,21.46,23.98,22.56,24.12,23.14,25.98,28.12,29.76,29.74,34.16,29.32,30.08,31.44,32.9,31.74,31.98,31.52,32.7,32.44,33.14,36.16,35.98,42.08,37.88,38.32,38.72,42.9,52.82,59.8,62.88,77.4,93.88,90.0,97.54,102.08,103.74,117.18,118.56,122.16,122.4,132.72,145.72,147.64,152.28,163.16,178.8,181.48,183.4,183.58,190.8,203.4,217.94,217.9,225.88,233.12,234.44,239.54,252.06,255.32,268.54,277.96,277.62,277.74,278.46,277.88,277.44,277.4,278.12,276.84,276.7,279.46,281.0,280.56,280.32,280.94,282.74,281.4
18,6.26,9.18,10.38,10.24,10.44,10.4,10.12,11.58,12.56,14.34,12.78,12.94,15.04,12.94,14.94,14.84,13.16,14.54,16.24,16.2,15.04,15.48,15.86,16.18,15.8,14.28,15.78,17.1,17.62,16.94,16.78,17.48,17.08,20.0,20.64,20.68,22.28,22.74,20.92,20.6,21.4,21.48,22.42,24.54,26.22,32.74,36.58,35.3,39.04,45.22,47.52,59.62,65.74,68.2,70.38,70.84,72.48,88.2,95.6,99.54,114.26,108.76,111.46,111.88,115.78,116.8,118.24,118.9,117.08,116.56,120.1,120.26,126.16,125.5,124.2,130.14,133.6,139.98,144.0,148.64,154.24,155.4,165.66,174.4,181.74,186.86,196.5,199.5,207.52,212.86,216.42,215.22,216.96,219.52,222.16,219.04,222.54,230.12,239.18,246.96,250.38
19,6.2,11.28,10.94,10.48,10.44,10.98,11.38,12.38,12.58,14.54,14.66,14.76,14.64,17.22,17.74,16.58,16.66,16.52,16.64,16.68,16.78,16.52,16.66,16.62,16.64,16.68,16.56,16.62,16.22,16.36,16.52,16.9,17.38,16.66,16.72,16.3,16.64,18.44,17.12,18.28,16.48,17.64,18.16,16.36,16.52,16.72,16.54,16.52,17.82,17.76,17.84,16.58,16.56,18.0,18.76,16.86,16.82,16.9,17.92,16.8,17.88,16.96,18.06,16.9,17.94,17.66,16.94,16.86,16.94,16.96,16.94,16.96,16.9,18.58,16.8,17.06,16.94,16.8,16.96,16.8,16.94,16.86,16.86,16.86,18.04,17.64,16.86,17.02,16.8,18.02,16.92,16.9,16.92,16.9,16.9,16.86,16.8,16.8,16.5,16.7,18.3
